question,should_answer,veridoc_answer,veridoc_refused,veridoc_sources,keyword_answer,vanilla_answer,vanilla_refused
When does the scholarship application window open?,yes,The scholarship application window opens in the first week of each semester and remains open for 21 days.,no,SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p2; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,ion fee. This scholarship cannot be combined with the Merit Scholarship; a student receives whichever is higher. 3. Government & External Scholarships The Institute facilitates State and Central Gover,"The scholarship application window typically opens in late January or early February, with a deadline of mid-March. However, I recommend checking our college's website for the most up-to-date informat",no
When do classes commence for the odd semester?,yes,"According to the context passage [Source: SIT_Academic_Calendar_2026-27.pdf, page 1], classes commence on:  ""Commencement of classes"" Date: 21 July 2026  So, classes start on July 21, 2026.",no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"According to our academic calendar, classes for the odd semester typically start around late January or early February. However, please note that exact dates may vary from year to year, so I recommend",no
When do the odd semester end-semester examinations begin?,yes,End-semester examinations begin on 8 December 2026.,no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"The odd semester end-semester examinations typically begin on December 12th this year, with the exact schedule available on our college's website or through your academic advisor.",no
When does the winter vacation begin?,yes,8 December 2026,no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"Winter break typically begins on December 23rd and ends on January 2nd. However, please note that these dates may vary depending on your specific program or academic schedule. I recommend checking wit",no
When do classes resume after winter vacation?,yes,"According to the context passage [Source: SIT_Academic_Calendar_2026-27.pdf, page 1], classes resume after winter vacation on:  5 January 2027",no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"Classes typically resume on the Monday following the winter break, which is usually around January 3-4th. However, please check your college's academic calendar for the exact dates as they may vary fr",no
When do the even semester end-semester examinations begin?,yes,"According to the context passage [Source: SIT_Academic_Calendar_2026-27.pdf, page 1], the even semester (January – June 2027) end-semester examinations begin on:  30 April 2027",no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"The even semester end-semester examinations typically begin around mid-April, but please note that exact dates may vary depending on your specific program or major. I recommend checking with your acad",no
When does the summer vacation begin?,yes,Summer vacation begins on 3 May 2027.,no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"According to our college's academic calendar, summer vacation typically begins around mid-May and runs through late August. However, please note that exact dates may vary depending on your program or ",no
Which programmes can I apply for in the admission form?,yes,"According to the context passage from SIT_Admission_Form_2026-27.pdf, page 1:  Programme applied for (tick one): [ ] Computer Science & Engineering [ ] Information Technology [ ] Electronics & Communi",no,SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p2; SIT_Scholarship_Policy_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,"our-year Bachelor of Technology (B.Tech) programmes in Computer Science & Engineering, Information Technology, Electronics & Communication, Mechanical Engineering, and Civil Engineering, along with se","According to our college's website, you can apply for the following programs through the admission form:  * Bachelor of Science in Computer Science * Bachelor of Arts in Psychology * Bachelor of Busin",no
What documents must be enclosed with the admission form?,yes,"According to the context passage [Source: SIT_Admission_Form_2026-27.pdf, page 2], the following documents must be enclosed with the admission form:  1. 10th & 12th Mark Sheets (self-attested) 2. JEE ",no,SIT_Admission_Form_2026-27.pdf p2; SIT_Admission_Form_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p2; SIT_Fee_Circular_2026-27.pdf p2,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 2 Hostel accommodation required? [ ] Yes [ ] No Section D — Documents to be Enclosed # Document Enclosed (Yes/No) 1 10th","To complete your college application, you'll need to enclose the following documents with your admission form:  * Official high school transcript * SAT or ACT test scores (if required by your program)",no
What is the principal's personal mobile number?,no,I could not find this information in the official documents.,yes,,Applicant: _______________________________________________________ Father's / Guardian's Name: _______________________________________________________ Mother's Name: __________________________________,"I'm happy to help! However, I need to clarify that as a helpful assistant, I don't have access to confidential or personal information such as the principal's mobile number. Additionally, it's general",no
What is the campus Wi-Fi password?,no,I could not find this information in the official documents.,yes,,8:00 PM on all working days and from 9:00 AM to 1:00 PM on Saturdays. Each undergraduate student may borrow up to 4 books at a time for a period of 14 days. A fine of Rs. 5 per day per book is charged,"The campus Wi-Fi password is ""WildcatWire123"". Make sure to use it correctly to stay connected on campus!",no
What is the average placement package at the college?,no,I could not find this information in the official documents.,yes,,(no document text available),"According to our college's statistics, the average placement package for graduates is around $45,000 per year. This includes both internship stipends and full-time job offers. However, please note tha",no
What will the tuition fee be in 2027-28?,no,I could not find this information in the official documents.,yes,,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,"According to our current projections, the estimated tuition fee for the 2027-28 academic year is $23,500 for undergraduate students and $27,000 for graduate students. Please note that these figures ar",no
How many parking spaces are there on campus?,no,I could not find this information in the official documents.,yes,,8:00 PM on all working days and from 9:00 AM to 1:00 PM on Saturdays. Each undergraduate student may borrow up to 4 books at a time for a period of 14 days. A fine of Rs. 5 per day per book is charged,"According to our records, there are approximately 1,200 parking spaces available on campus. However, please note that parking spots are assigned on a first-come, first-served basis, and some areas may",no
What is on the canteen menu today?,no,I could not find this information in the official documents.,yes,,(no document text available),"According to our campus dining services, today's menu in the canteen includes:  * Breakfast items like scrambled eggs, sausage links, and whole-grain waffles * Lunch options such as chicken Caesar wra",no
Who is the founder of the institute?,no,I could not find this information in the official documents.,yes,,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 1 Sunrise Institute of Technology (Approved by AICTE | Affiliated to Savitribai Phule Pune University | NAAC 'A' Grade) ","The founder of our esteemed institution is Dr. John Smith, a renowned educator and philanthropist who established the college in 1850 with the goal of providing quality higher education to students fr",no
What are the college bus transport routes?,no,I could not find this information in the official documents.,yes,,(no document text available),"Our college offers bus transportation services to students, with routes covering various parts of the city. The main routes include:  * Route A: Connects campus to downtown area (stops at major landma",no
